time,Open,High,Low,Close,Volume
2023-01-01 22:00:00,1.11568,1.11925,1.11549,1.11709,193.0
2023-01-02 02:00:00,1.11755,1.11798,1.11558,1.11681,153.0
2023-01-02 06:00:00,1.11688,1.11833,1.11246,1.11384,1992.0
2023-01-02 10:00:00,1.11385,1.11434,1.1133,1.11386,4764.0
2023-01-02 14:00:00,1.11384,1.1158,1.11378,1.1152,2167.0
2023-01-02 18:00:00,1.11518,1.11534,1.11387,1.11488,1151.0
2023-01-02 22:00:00,1.11508,1.11789,1.11295,1.11414,11599.0
2023-01-03 02:00:00,1.11414,1.11622,1.11404,1.116,15908.0
2023-01-03 06:00:00,1.116,1.11857,1.11176,1.1173,39936.0
2023-01-03 10:00:00,1.11734,1.12302,1.11684,1.12223,33454.0
2023-01-03 14:00:00,1.12226,1.12692,1.12054,1.12125,48373.0
2023-01-03 18:00:00,1.12126,1.12278,1.11985,1.1199,20964.0
2023-01-03 22:00:00,1.12179,1.12234,1.1193,1.11952,18306.0
2023-01-04 02:00:00,1.11952,1.12014,1.11834,1.11937,17809.0
2023-01-04 06:00:00,1.11933,1.11946,1.11674,1.11824,43237.0
2023-01-04 10:00:00,1.11826,1.12016,1.11684,1.1182,36192.0
2023-01-04 14:00:00,1.11816,1.12106,1.11652,1.12085,51313.0
2023-01-04 18:00:00,1.12088,1.12248,1.12006,1.12068,35031.0
2023-01-04 22:00:00,1.12082,1.12215,1.1198,1.11988,16430.0
2023-01-05 02:00:00,1.11989,1.1202,1.11871,1.1197,23075.0
2023-01-05 06:00:00,1.1197,1.11991,1.11408,1.11476,30666.0
2023-01-05 10:00:00,1.11464,1.11556,1.11091,1.11268,33779.0
2023-01-05 14:00:00,1.11266,1.11546,1.11242,1.11471,45917.0
2023-01-05 18:00:00,1.11474,1.11644,1.11407,1.11508,19880.0
2023-01-05 22:00:00,1.11552,1.1159,1.11414,1.11577,22754.0
2023-01-06 02:00:00,1.11576,1.11701,1.11554,1.11606,20247.0
2023-01-06 06:00:00,1.11607,1.11754,1.11416,1.11476,30576.0
2023-01-06 10:00:00,1.11477,1.11722,1.11268,1.11528,40051.0
2023-01-06 14:00:00,1.11526,1.12217,1.11496,1.12178,58264.0
2023-01-06 18:00:00,1.12179,1.123,1.12082,1.12214,18170.0
2023-01-08 22:00:00,1.12149,1.12362,1.12134,1.1225,19438.0
2023-01-09 02:00:00,1.12252,1.12504,1.12226,1.12432,17910.0
2023-01-09 06:00:00,1.12434,1.1256,1.12008,1.1241,35626.0
2023-01-09 10:00:00,1.12412,1.12434,1.11843,1.11858,35141.0
2023-01-09 14:00:00,1.11857,1.12191,1.118,1.12147,41311.0
2023-01-09 18:00:00,1.12148,1.12286,1.12128,1.12284,23930.0
2023-01-09 22:00:00,1.1234,1.12352,1.12121,1.12144,19297.0
2023-01-10 02:00:00,1.12142,1.12213,1.12078,1.12134,22170.0
2023-01-10 06:00:00,1.12134,1.12197,1.11859,1.12079,30101.0
2023-01-10 10:00:00,1.12079,1.12237,1.11966,1.12201,27657.0
2023-01-10 14:00:00,1.12203,1.12251,1.11996,1.12116,43564.0
2023-01-10 18:00:00,1.12116,1.12294,1.12104,1.12128,18040.0
2023-01-10 22:00:00,1.12188,1.12203,1.12004,1.12168,14436.0
2023-01-11 02:00:00,1.12166,1.12202,1.12087,1.12128,17056.0
2023-01-11 06:00:00,1.1213,1.1218,1.119,1.12004,27305.0
2023-01-11 10:00:00,1.12004,1.12554,1.11844,1.12478,27023.0
2023-01-11 14:00:00,1.12477,1.12966,1.12382,1.12898,37802.0
2023-01-11 18:00:00,1.12899,1.13234,1.1289,1.13159,21200.0
2023-01-11 22:00:00,1.13026,1.13276,1.12992,1.13272,17105.0
2023-01-12 02:00:00,1.1327,1.13319,1.13188,1.13236,13805.0
2023-01-12 06:00:00,1.13238,1.13531,1.13136,1.13386,26410.0
2023-01-12 10:00:00,1.13385,1.13563,1.13066,1.13516,47888.0
2023-01-12 14:00:00,1.13516,1.13672,1.12779,1.13494,69405.0
2023-01-12 18:00:00,1.13492,1.13544,1.13259,1.13264,30643.0
2023-01-12 22:00:00,1.13248,1.13401,1.13196,1.134,20231.0
2023-01-13 02:00:00,1.13398,1.1341,1.13266,1.13344,20128.0
2023-01-13 06:00:00,1.13345,1.13748,1.13156,1.13546,35848.0
2023-01-13 10:00:00,1.1355,1.13635,1.13096,1.13262,35725.0
2023-01-13 14:00:00,1.13262,1.13385,1.1303,1.13116,46547.0
2023-01-13 18:00:00,1.13116,1.13398,1.13062,1.13247,21495.0
2023-01-15 22:00:00,1.13275,1.13436,1.13207,1.13284,17738.0
2023-01-16 02:00:00,1.13284,1.13391,1.13206,1.13312,17965.0
2023-01-16 06:00:00,1.13312,1.13346,1.12741,1.12856,32839.0
2023-01-16 10:00:00,1.12857,1.13242,1.12792,1.12838,24290.0
2023-01-16 14:00:00,1.1284,1.13201,1.1283,1.12892,26808.0
2023-01-16 18:00:00,1.12888,1.13035,1.12885,1.1299,6935.0
2023-01-16 22:00:00,1.13002,1.13059,1.12833,1.12912,15559.0
